,TRANSMITTALNO,ISSUEPURPOSE,RETUREDATE,ISSUEDATE,CTCIDOCNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,DOCDOCCLASS,REVIEW
10,TPC-TC(C0)-CD-22-1148,IFA,2022/10/21,2022/09/21,M0015-EC-0035,P & ID Wastewater Treatment System (11/22)_Recovery water Treatment System for WWTS,B,A,Piping & Instrument Diagrams (P & ID) for WWTS,TC0-1-KWM02-D0035,蕭舜予  Ext.:22121 ,R,VDR-M0015-EC-0128
11,TPC-TC(C0)-CD-22-1148,IFA,2022/10/21,2022/09/21,M0015-EC-0036,P & ID Wastewater Treatment System (12/22)_Recovery water Treatment System for WWTS,B,A,Piping & Instrument Diagrams (P & ID) for WWTS,TC0-1-KWM02-D0036,蕭舜予  Ext.:22121 ,R,VDR-M0015-EC-0128
12,TPC-TC(C0)-CD-22-1148,IFA,2022/10/21,2022/09/21,M0015-EC-0037,P & ID Wastewater Treatment System (13/22)_Recovery water Treatment System for WWTS,B,A,Piping & Instrument Diagrams (P & ID) for WWTS,TC0-1-KWM02-D0037,蕭舜予  Ext.:22121 ,R,VDR-M0015-EC-0128
13,TPC-TC(C0)-CD-22-1148,IFA,2022/10/21,2022/09/21,M0015-EC-0038,P & ID Wastewater Treatment System (14/22)_Sludge treatment system for WWTS,B,A,Piping & Instrument Diagrams (P & ID) for WWTS,TC0-1-KWM02-D0038,蕭舜予  Ext.:22121 ,R,VDR-M0015-EC-0128
14,TPC-TC(C0)-CD-22-1148,IFA,2022/10/21,2022/09/21,M0015-EC-0039,P & ID Wastewater Treatment System (15/22)_Sludge treatment system for WWTS,B,A,Piping & Instrument Diagrams (P & ID) for WWTS,TC0-1-KWM02-D0039,蕭舜予  Ext.:22121 ,R,VDR-M0015-EC-0128
15,TPC-TC(C0)-CD-22-1148,IFA,2022/10/21,2022/09/21,M0015-EC-0040,P & ID Wastewater Treatment System (16/22)_Sludge treatment system for WWTS,B,A,Piping & Instrument Diagrams (P & ID) for WWTS,TC0-1-KWM02-D0040,蕭舜予  Ext.:22121 ,R,VDR-M0015-EC-0128
16,TPC-TC(C0)-CD-22-1148,IFA,2022/10/21,2022/09/21,M0015-EC-0041,P & ID Wastewater Treatment System (17/22)_Sludge treatment system for WWTS,B,A,Piping & Instrument Diagrams (P & ID) for WWTS,TC0-1-KWM02-D0041,蕭舜予  Ext.:22121 ,R,VDR-M0015-EC-0128
17,TPC-TC(C0)-CD-22-1148,IFA,2022/10/21,2022/09/21,M0015-EC-0042,P & ID Wastewater Treatment System (18/22)_Chemical dosing System for WWTS,B,A,Piping & Instrument Diagrams (P & ID) for WWTS,TC0-1-KWM02-D0042,蕭舜予  Ext.:22121 ,R,VDR-M0015-EC-0128
18,TPC-TC(C0)-CD-22-1148,IFA,2022/10/21,2022/09/21,M0015-EC-0043,P & ID Wastewater Treatment System (19/22)_Chemical dosing System for WWTS,B,A,Piping & Instrument Diagrams (P & ID) for WWTS,TC0-1-KWM02-D0043,蕭舜予  Ext.:22121 ,R,VDR-M0015-EC-0128
19,TPC-TC(C0)-CD-22-1148,IFA,2022/10/21,2022/09/21,M0015-EC-0044,P & ID Wastewater Treatment System (20/22)_Chemical dosing System for WWTS,B,A,Piping & Instrument Diagrams (P & ID) for WWTS,TC0-1-KWM02-D0044,蕭舜予  Ext.:22121 ,R,VDR-M0015-EC-0128
20,TPC-TC(C0)-CD-22-1148,IFA,2022/10/21,2022/09/21,M0015-EC-0045,P & ID Wastewater Treatment System (21/22)_Chemical dosing System for WWTS,B,A,Piping & Instrument Diagrams (P & ID) for WWTS,TC0-1-KWM02-D0045,蕭舜予  Ext.:22121 ,R,VDR-M0015-EC-0128
21,TPC-TC(C0)-CD-22-1148,IFA,2022/10/21,2022/09/21,M0015-EC-0046,P & ID Wastewater Treatment System (22/22)_Chemical dosing System for WWTS,B,A,Piping & Instrument Diagrams (P & ID) for WWTS,TC0-1-KWM02-D0046,蕭舜予  Ext.:22121 ,R,VDR-M0015-EC-0128
