,TRANSMITTALNO,ISSUEPURPOSE,PLANNEDCLIENTRETURNDATE,ISSUEDATE,DOCVERSIONNO,DOCVERSIONDESC,DOCREV,DOCCLASS,TRDESC,CLIENTDOCNO,LE,ISSNO
10,TPC-TC(C0)-CD-22-0106,IFA,2022/03/11,2022/02/11,XF11B-0000-511,ARCHITECTURE TYPICAL DRAWING TOILET & SHOWER COMPARTMENT DETAILS,B,A,"Architecture Typical Drawing_RA,RB",TC0-1-CYC02-D5511,陳博仁  Ext.:23341,CB-0148
11,TPC-TC(C0)-CD-22-0106,IFA,2022/03/11,2022/02/11,XF11B-0000-512,ARCHITECTURE TYPICAL DRAWING EXTERIOR WALL PANEL DETAILS (1/3),B,A,"Architecture Typical Drawing_RA,RB",TC0-1-CYC02-D5512,陳博仁  Ext.:23341,CB-0148
12,TPC-TC(C0)-CD-22-0106,IFA,2022/03/11,2022/02/11,XF11B-0000-513,ARCHITECTURE TYPICAL DRAWING EXTERIOR WALL PANEL DETAILS (2/3),B,A,"Architecture Typical Drawing_RA,RB",TC0-1-CYC02-D5513,陳博仁  Ext.:23341,CB-0148
13,TPC-TC(C0)-CD-22-0106,IFA,2022/03/11,2022/02/11,XF11B-0000-514,ARCHITECTURE TYPICAL DRAWING EXTERIOR WALL PANEL DETAILS (3/3),B,A,"Architecture Typical Drawing_RA,RB",TC0-1-CYC02-D5514,陳博仁  Ext.:23341,CB-0148
14,TPC-TC(C0)-CD-22-0106,IFA,2022/03/11,2022/02/11,XF11B-0000-515,ARCHITECTURE TYPICAL DRAWING EXTERIOR WALL PENETRATING DETAILS (1/3),B,A,"Architecture Typical Drawing_RA,RB",TC0-1-CYC02-D5515,陳博仁  Ext.:23341,CB-0148
15,TPC-TC(C0)-CD-22-0106,IFA,2022/03/11,2022/02/11,XF11B-0000-516,ARCHITECTURE TYPICAL DRAWING EXTERIOR WALL PENETRATING DETAILS (2/3),B,A,"Architecture Typical Drawing_RA,RB",TC0-1-CYC02-D5516,陳博仁  Ext.:23341,CB-0148
16,TPC-TC(C0)-CD-22-0106,IFA,2022/03/11,2022/02/11,XF11B-0000-517,ARCHITECTURE TYPICAL DRAWING EXTERIOR WALL PENETRATING DETAILS (3/3),B,A,"Architecture Typical Drawing_RA,RB",TC0-1-CYC02-D5517,陳博仁  Ext.:23341,CB-0148
17,TPC-TC(C0)-CD-22-0106,IFA,2022/03/11,2022/02/11,XF11B-0000-518,ARCHITECTURE TYPICAL DRAWING PRECAST HOLLOW CONCRETE PANEL WALL DETAILS (1/2),B,A,"Architecture Typical Drawing_RA,RB",TC0-1-CYC02-D5518,陳博仁  Ext.:23341,CB-0148
18,TPC-TC(C0)-CD-22-0106,IFA,2022/03/11,2022/02/11,XF11B-0000-519,ARCHITECTURE TYPICAL DRAWING PRECAST HOLLOW CONCRETE PANEL WALL DETAILS (2/2),B,A,"Architecture Typical Drawing_RA,RB",TC0-1-CYC02-D5519,陳博仁  Ext.:23341,CB-0148
19,TPC-TC(C0)-CD-22-0106,IFA,2022/03/11,2022/02/11,XF11B-0000-520,ARCHITECTURE TYPICAL DRAWING SINGLE FLOOD GATE DETAILS,B,A,"Architecture Typical Drawing_RA,RB",TC0-1-CYC02-D5520,陳博仁  Ext.:23341,CB-0148
20,TPC-TC(C0)-CD-22-0106,IFA,2022/03/11,2022/02/11,XF11B-0000-521,ARCHITECTURE TYPICAL DRAWING HANDRAIL DETAILS,B,A,"Architecture Typical Drawing_RA,RB",TC0-1-CYC02-D5521,陳博仁  Ext.:23341,CB-0148
21,TPC-TC(C0)-CD-22-0106,IFA,2022/03/11,2022/02/11,XF11B-0000-522,ARCHITECTURE TYPICAL DRAWING RAISED FLOOR DETAILS,A,A,"Architecture Typical Drawing_RA,RB",TC0-1-CYC02-D5522,陳博仁  Ext.:23341,CB-0148
